created_at,entry_id,field1,field2,field3,latitude,longitude,elevation,status
2023-04-15T23:07:29-04:00,287,20,23,N,,,,
2023-04-15T23:08:16-04:00,288,21,45,N,,,,
2023-04-15T23:08:46-04:00,289,22,28,N,,,,
2023-04-15T23:09:30-04:00,290,23,41,N,,,,
2023-04-15T23:09:55-04:00,291,24,23,N,,,,
2023-04-15T23:10:38-04:00,292,25,41,N,,,,
2023-04-15T23:11:07-04:00,293,26,26,N,,,,
2023-04-15T23:11:52-04:00,294,27,42,N,,,,
2023-04-15T23:12:17-04:00,295,28,23,N,,,,
2023-04-15T23:12:59-04:00,296,29,40,N,,,,
2023-04-15T23:13:24-04:00,297,30,23,N,,,,
2023-04-15T23:14:13-04:00,298,31,46,N,,,,
2023-04-15T23:14:42-04:00,299,32,27,N,,,,
2023-04-15T23:15:39-04:00,300,33,54,N,,,,
2023-04-15T23:16:06-04:00,301,34,24,N,,,,
2023-04-15T23:16:54-04:00,302,35,45,N,,,,
2023-04-15T23:17:19-04:00,303,36,23,N,,,,
2023-04-15T23:18:05-04:00,304,37,44,N,,,,
2023-04-15T23:18:32-04:00,305,38,24,N,,,,
2023-04-15T23:19:13-04:00,306,39,39,N,,,,
2023-04-15T23:19:45-04:00,307,40,30,N,,,,
2023-04-15T23:20:29-04:00,308,41,42,N,,,,
2023-04-15T23:20:58-04:00,309,42,26,N,,,,
2023-04-15T23:21:38-04:00,310,43,38,N,,,,
2023-04-15T23:22:03-04:00,311,44,23,N,,,,
2023-04-15T23:22:51-04:00,312,45,45,N,,,,
2023-04-15T23:23:21-04:00,313,46,27,N,,,,
2023-04-15T23:24:04-04:00,314,47,41,N,,,,
2023-04-15T23:24:29-04:00,315,48,23,N,,,,
2023-04-15T23:25:37-04:00,316,1,65,N,,,,
2023-04-15T23:26:02-04:00,317,2,23,N,,,,
2023-04-15T23:26:49-04:00,318,3,45,N,,,,
2023-04-15T23:27:17-04:00,319,4,25,N,,,,
2023-04-15T23:27:58-04:00,320,5,39,N,,,,
2023-04-15T23:28:30-04:00,321,6,29,N,,,,
2023-04-15T23:29:15-04:00,322,7,43,N,,,,
2023-04-15T23:29:43-04:00,323,8,25,N,,,,
2023-04-15T23:30:23-04:00,324,9,38,N,,,,
2023-04-15T23:30:48-04:00,325,10,23,N,,,,
2023-04-15T23:31:35-04:00,326,11,45,N,,,,
2023-04-15T23:32:05-04:00,327,12,27,N,,,,
2023-04-15T23:32:48-04:00,328,13,41,N,,,,
2023-04-15T23:33:13-04:00,329,14,23,N,,,,
2023-04-15T23:33:57-04:00,330,15,41,N,,,,
2023-04-15T23:34:25-04:00,331,16,25,N,,,,
2023-04-15T23:35:24-04:00,332,17,57,N,,,,
2023-04-15T23:35:51-04:00,333,18,25,N,,,,
2023-04-15T23:36:32-04:00,334,19,38,N,,,,
2023-04-15T23:36:57-04:00,335,20,23,N,,,,
2023-04-15T23:37:45-04:00,336,21,45,N,,,,
2023-04-15T23:38:19-04:00,337,22,31,N,,,,
2023-04-15T23:39:00-04:00,338,23,39,N,,,,
2023-04-15T23:39:29-04:00,339,24,26,N,,,,
2023-04-15T23:40:16-04:00,340,25,45,N,,,,
2023-04-15T23:40:41-04:00,341,26,23,N,,,,
2023-04-15T23:41:28-04:00,342,27,44,N,,,,
2023-04-15T23:41:55-04:00,343,28,24,N,,,,
2023-04-15T23:42:36-04:00,344,29,39,N,,,,
2023-04-15T23:43:08-04:00,345,30,30,N,,,,
2023-04-15T23:43:51-04:00,346,31,41,N,,,,
2023-04-15T23:44:20-04:00,347,32,26,N,,,,
2023-04-15T23:45:17-04:00,348,33,55,N,,,,
2023-04-15T23:45:46-04:00,349,34,26,N,,,,
2023-04-15T23:46:28-04:00,350,35,40,N,,,,
2023-04-15T23:47:00-04:00,351,36,29,N,,,,
2023-04-15T23:47:41-04:00,352,37,39,N,,,,
2023-04-15T23:48:08-04:00,353,38,24,N,,,,
2023-04-15T23:48:53-04:00,354,39,43,N,,,,
2023-04-15T23:49:22-04:00,355,40,27,N,,,,
2023-04-15T23:50:09-04:00,356,41,44,N,,,,
2023-04-15T23:50:34-04:00,357,42,23,N,,,,
2023-04-15T23:51:16-04:00,358,43,39,N,,,,
2023-04-15T23:51:45-04:00,359,44,26,N,,,,
2023-04-15T23:52:28-04:00,360,45,41,N,,,,
2023-04-15T23:53:01-04:00,361,46,30,N,,,,
2023-04-15T23:53:43-04:00,362,47,39,N,,,,
2023-04-15T23:54:10-04:00,363,48,24,N,,,,
2023-04-15T23:55:15-04:00,364,1,63,N,,,,
2023-04-15T23:55:49-04:00,365,2,31,N,,,,
2023-04-15T23:56:31-04:00,366,3,40,N,,,,
2023-04-15T23:56:59-04:00,367,4,26,N,,,,
2023-04-15T23:57:46-04:00,368,5,44,N,,,,
2023-04-15T23:58:11-04:00,369,6,23,N,,,,
2023-04-15T23:58:58-04:00,370,7,45,N,,,,
2023-04-15T23:59:26-04:00,371,8,26,N,,,,
2023-04-16T00:00:07-04:00,372,9,38,N,,,,
2023-04-16T00:00:34-04:00,373,10,25,N,,,,
2023-04-16T00:01:19-04:00,374,11,43,N,,,,
2023-04-16T00:01:52-04:00,375,12,30,N,,,,
2023-04-16T00:02:34-04:00,376,13,40,N,,,,
2023-04-16T00:03:02-04:00,377,14,26,N,,,,
2023-04-16T00:03:50-04:00,378,15,45,N,,,,
2023-04-16T00:04:15-04:00,379,16,23,N,,,,
2023-04-16T00:05:11-04:00,380,17,54,N,,,,
2023-04-16T00:05:36-04:00,381,18,23,N,,,,
2023-04-16T00:06:19-04:00,382,19,40,N,,,,
2023-04-16T00:06:47-04:00,383,20,26,N,,,,
2023-04-16T00:07:35-04:00,384,21,45,N,,,,
2023-04-16T00:08:00-04:00,385,22,23,N,,,,
2023-04-16T00:08:41-04:00,386,23,38,N,,,,
2023-04-16T00:09:11-04:00,387,24,27,N,,,,
2023-04-16T00:09:54-04:00,388,25,41,N,,,,
2023-04-16T00:10:26-04:00,389,26,30,N,,,,
2023-04-16T00:11:07-04:00,390,27,39,N,,,,
2023-04-16T00:11:34-04:00,391,28,24,N,,,,
2023-04-16T00:12:19-04:00,392,29,43,N,,,,
2023-04-16T00:12:47-04:00,393,30,26,N,,,,
2023-04-16T00:13:35-04:00,394,31,45,N,,,,
2023-04-16T00:14:00-04:00,395,32,23,N,,,,
2023-04-16T00:14:57-04:00,396,33,54,N,,,,
2023-04-16T00:15:28-04:00,397,34,29,N,,,,
2023-04-16T00:16:14-04:00,398,35,43,N,,,,
2023-04-16T00:16:41-04:00,399,36,25,N,,,,
2023-04-16T00:17:22-04:00,400,37,38,N,,,,
2023-04-16T00:17:47-04:00,401,38,23,N,,,,
2023-04-16T00:18:34-04:00,402,39,45,N,,,,
2023-04-16T00:19:02-04:00,403,40,26,N,,,,
2023-04-16T00:19:46-04:00,404,41,41,N,,,,
2023-04-16T00:20:11-04:00,405,42,23,N,,,,
2023-04-16T00:20:55-04:00,406,43,42,N,,,,
2023-04-16T00:21:24-04:00,407,44,26,N,,,,
2023-04-16T00:22:11-04:00,408,45,44,N,,,,
2023-04-16T00:22:36-04:00,409,46,23,N,,,,
2023-04-16T00:23:17-04:00,410,47,39,N,,,,
2023-04-16T00:23:43-04:00,411,48,23,N,,,,
2023-04-16T00:24:43-04:00,412,1,58,N,,,,
2023-04-16T00:25:16-04:00,413,2,30,N,,,,
2023-04-16T00:25:58-04:00,414,3,39,N,,,,
2023-04-16T00:26:25-04:00,415,4,24,N,,,,
2023-04-16T00:27:12-04:00,416,5,45,N,,,,
2023-04-16T00:27:37-04:00,417,6,23,N,,,,
2023-04-16T00:28:24-04:00,418,7,44,N,,,,
2023-04-16T00:28:51-04:00,419,8,25,N,,,,
2023-04-16T00:29:33-04:00,420,9,39,N,,,,
2023-04-16T00:30:05-04:00,421,10,30,N,,,,
2023-04-16T00:30:49-04:00,422,11,42,N,,,,
2023-04-16T00:31:17-04:00,423,12,26,N,,,,
2023-04-16T00:31:58-04:00,424,13,38,N,,,,
2023-04-16T00:32:23-04:00,425,14,23,N,,,,
2023-04-16T00:33:09-04:00,426,15,44,N,,,,
2023-04-16T00:33:38-04:00,427,16,27,N,,,,
2023-04-16T00:34:33-04:00,428,17,52,N,,,,
2023-04-16T00:35:00-04:00,429,18,25,N,,,,
2023-04-16T00:35:44-04:00,430,19,42,N,,,,
2023-04-16T00:36:13-04:00,431,20,26,N,,,,
2023-04-16T00:37:00-04:00,432,21,45,N,,,,
2023-04-16T00:37:25-04:00,433,22,23,N,,,,
2023-04-16T00:38:06-04:00,434,23,38,N,,,,
2023-04-16T00:38:36-04:00,435,24,27,N,,,,
2023-04-16T00:39:19-04:00,436,25,40,N,,,,
2023-04-16T00:39:51-04:00,437,26,30,N,,,,
2023-04-16T00:40:33-04:00,438,27,40,N,,,,
2023-04-16T00:40:59-04:00,439,28,24,N,,,,
2023-04-16T00:41:45-04:00,440,29,44,N,,,,
2023-04-16T00:42:10-04:00,441,30,23,N,,,,
2023-04-16T00:42:57-04:00,442,31,44,N,,,,
2023-04-16T00:43:23-04:00,443,32,25,N,,,,
2023-04-16T00:44:21-04:00,444,33,55,N,,,,
2023-04-16T00:44:51-04:00,445,34,28,N,,,,
2023-04-16T00:45:39-04:00,446,35,46,N,,,,
2023-04-16T00:46:05-04:00,447,36,23,N,,,,
2023-04-16T00:46:46-04:00,448,37,39,N,,,,
2023-04-16T00:47:12-04:00,449,38,23,N,,,,
2023-04-16T00:48:00-04:00,450,39,45,N,,,,
2023-04-16T00:48:29-04:00,451,40,27,N,,,,
2023-04-16T00:49:12-04:00,452,41,41,N,,,,
2023-04-16T00:49:37-04:00,453,42,23,N,,,,
2023-04-16T00:50:22-04:00,454,43,42,N,,,,
2023-04-16T00:50:49-04:00,455,44,25,N,,,,
2023-04-16T00:51:36-04:00,456,45,44,N,,,,
2023-04-16T00:52:01-04:00,457,46,23,N,,,,
2023-04-16T00:52:42-04:00,458,47,39,N,,,,
2023-04-16T00:53:11-04:00,459,48,26,N,,,,
2023-04-16T00:54:19-04:00,460,1,66,N,,,,
2023-04-16T00:54:44-04:00,461,2,23,N,,,,
2023-04-16T00:55:26-04:00,462,3,40,N,,,,
2023-04-16T00:55:56-04:00,463,4,27,N,,,,
2023-04-16T00:56:39-04:00,464,5,41,N,,,,
2023-04-16T00:57:11-04:00,465,6,29,N,,,,
2023-04-16T00:57:53-04:00,466,7,39,N,,,,
2023-04-16T00:58:19-04:00,467,8,24,N,,,,
2023-04-16T00:59:04-04:00,468,9,42,N,,,,
2023-04-16T00:59:34-04:00,469,10,27,N,,,,
2023-04-16T01:00:21-04:00,470,11,45,N,,,,
2023-04-16T01:00:46-04:00,471,12,23,N,,,,
2023-04-16T01:01:27-04:00,472,13,39,N,,,,
2023-04-16T01:01:56-04:00,473,14,26,N,,,,
2023-04-16T01:02:39-04:00,474,15,41,N,,,,
2023-04-16T01:03:10-04:00,475,16,29,N,,,,
